Hydrolab MS5 46008
"Log File Name : Bird_Pond_2022_46008"
"Setup Date (M/D/YYYY) : 6/16/2022"
"Setup Time (HH:MM:SS) : 11:37:49"
"Starting Date (M/D/YYYY) : 6/16/2022"
"Starting Time (HH:MM:SS) : 16:00:00"
"Stopping Date (M/D/YYYY) : 9/15/2022"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 01:00:00"
"Sensor warmup (HH:MM:SS) : 00:00:30"
"Circltr warmup (HH:MM:SS) : 00:00:30"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO%",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","Sat",""

6/22/2022,07:00:00,"","19.99","","7.61","","87","","14.5","","82.2",""
6/22/2022,08:00:00,"","19.99","","7.61","","87","","14.5","","76.5",""
6/22/2022,09:00:00,"","20.07","","7.52","","87","","15.0","","71.3",""
6/22/2022,10:00:00,"","20.01","","7.60","","87","","15.4","","82.4",""
6/22/2022,11:00:00,"","20.02","","7.55","","87","","14.5","","85.8",""
6/22/2022,12:00:00,"","20.36","","7.62","","86","","13.8","","88.8",""
6/22/2022,13:00:00,"","20.54","","7.54","","87","","14.3","","84.6",""
6/22/2022,14:00:00,"","20.20","","7.59","","86","","16.1","","81.7",""
6/22/2022,15:00:00,"","20.34","","7.58","","87","","14.3","","86.1",""
6/22/2022,16:00:00,"","20.53","","7.46","","87","","13.7","","73.9",""
6/22/2022,17:00:00,"","20.55","","7.49","","87","","14.4","","79.7",""
6/22/2022,18:00:00,"","20.93","","7.52","","87","","15.7","","77.5",""
6/22/2022,19:00:00,"","20.69","","7.56","","87","","22.9","","74.5",""
6/22/2022,20:00:00,"","20.73","","7.57","","86","","22.7","","76.3",""
6/22/2022,21:00:00,"","20.80","","7.58","","87","","29.3","","79.1",""
6/22/2022,22:00:00,"","20.85","","7.55","","87","","29.4","","76.6",""
6/22/2022,23:00:00,"","20.65","","7.41","","87","","30.1","","69.4",""
6/23/2022,00:00:00,"","20.81","","7.53","","86","","15.1","","78.0",""
6/23/2022,01:00:00,"","20.92","","7.53","","87","","15.3","","76.2",""
6/23/2022,02:00:00,"","20.80","","7.48","","86","","16.4","","76.1",""
6/23/2022,03:00:00,"","20.88","","7.39","","87","","29.3","","69.5",""
6/23/2022,04:00:00,"","20.81","","7.29","","87","","28.9","","58.3",""
6/23/2022,05:00:00,"","20.95","","7.44","","87","","30.7","","70.0",""
6/23/2022,06:00:00,"","20.85","","7.30","","87","","30.2","","53.1",""
6/23/2022,07:00:00,"","20.84","","7.45","","86","","30.1","","70.0",""
6/23/2022,08:00:00,"","20.75","","7.56","","86","","15.3","","72.1",""
6/23/2022,09:00:00,"","20.74","","7.63","","87","","14.6","","74.2",""
6/23/2022,10:00:00,"","20.74","","7.52","","87","","14.1","","59.0",""
6/23/2022,11:00:00,"","20.81","","7.50","","86","","8.3","","66.7",""
6/23/2022,12:00:00,"","21.12","","7.59","","86","","12.7","","69.3",""
6/23/2022,13:00:00,"","21.35","","7.62","","86","","6.0","","71.8",""
6/23/2022,14:00:00,"","20.81","","7.57","","87","","13.8","","71.5",""
6/23/2022,15:00:00,"","21.35","","7.59","","86","","13.7","","71.1",""
6/23/2022,16:00:00,"","21.39","","7.63","","86","","16.6","","69.0",""
6/23/2022,17:00:00,"","21.83","","7.66","","86","","15.6","","70.4",""
6/23/2022,18:00:00,"","21.70","","7.55","","86","","13.0","","69.8",""
6/23/2022,19:00:00,"","21.61","","7.61","","86","","14.2","","70.4",""
6/23/2022,20:00:00,"","21.69","","7.62","","87","","14.9","","65.8",""
6/23/2022,21:00:00,"","21.70","","7.56","","86","","14.9","","60.7",""
6/23/2022,22:00:00,"","21.83","","7.49","","86","","15.2","","55.5",""
6/23/2022,23:00:00,"","21.71","","7.29","","87","","14.1","","48.0",""
6/24/2022,00:00:00,"","21.75","","7.25","","88","","14.0","","40.5",""
6/24/2022,01:00:00,"","21.99","","7.32","","87","","13.7","","48.7",""
6/24/2022,02:00:00,"","21.94","","7.40","","86","","14.1","","38.1",""
