"source","sample_name","lab_dup","field_sample_date","lab_analysis_date","parameter","val_ppb","detection_note","strata","waterbody"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Benthic","b",2021-10-07,2021-10-13,"rotenone_ppb",13.54,NA,"Benthic","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Benthic","b",2021-10-07,2021-10-13,"rotenolone_ppb",7.9,NA,"Benthic","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Benthic","b",2021-10-07,2021-10-13,"deguelin_ppb",11.22,NA,"Benthic","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Benthic","b",2021-10-07,2021-10-13,"tephrosin_ppb",NA,"Detected","Benthic","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Benthic","b",2021-10-07,2021-10-13,"cft_5",NA,"Detected","Benthic","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","N_Vogel_Benthic","b",2021-10-07,2021-10-13,"cft_6",NA,"Detected","Benthic","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Miller_Creek_1",NA,2021-10-08,2021-10-13,"rotenone_ppb",22.96,NA,"Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Miller_Creek_1",NA,2021-10-08,2021-10-13,"rotenolone_ppb",13.27,NA,"Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Miller_Creek_1",NA,2021-10-08,2021-10-13,"deguelin_ppb",19.78,NA,"Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Miller_Creek_1",NA,2021-10-08,2021-10-13,"tephrosin_ppb",NA,"Detected","Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Miller_Creek_1",NA,2021-10-08,2021-10-13,"cft_5",NA,"Detected","Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211013_Vogel_Sample 1 Results.csv","Miller_Creek_1",NA,2021-10-08,2021-10-13,"cft_6",NA,"Detected","Creek","Miller_Creek"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Vogel_Surface","a",2021-11-10,2021-11-12,"rotenone_ppb",12.39,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Vogel_Surface","a",2021-11-10,2021-11-12,"rotenolone_ppb",7.69,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Vogel_Surface","a",2021-11-10,2021-11-12,"deguelin_ppb",9.24,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Vogel_Surface","a",2021-11-10,2021-11-12,"tephrosin_ppb",NA,"Detected","Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Vogel_Surface","a",2021-11-10,2021-11-12,"cft_5",NA,"Detected","Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Vogel_Surface","a",2021-11-10,2021-11-12,"cft_6",NA,"Detected","Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Vogel_Surface","b",2021-11-10,2021-11-12,"rotenone_ppb",13.08,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Vogel_Surface","b",2021-11-10,2021-11-12,"rotenolone_ppb",8.5,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Vogel_Surface","b",2021-11-10,2021-11-12,"deguelin_ppb",9.59,NA,"Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Vogel_Surface","b",2021-11-10,2021-11-12,"tephrosin_ppb",NA,"Detected","Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Vogel_Surface","b",2021-11-10,2021-11-12,"cft_5",NA,"Detected","Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","Vogel_Surface","b",2021-11-10,2021-11-12,"cft_6",NA,"Detected","Surface","Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","N_Vogel_Surface","a",2021-11-10,2021-11-12,"rotenone_ppb",15.05,NA,"Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","N_Vogel_Surface","a",2021-11-10,2021-11-12,"rotenolone_ppb",10.87,NA,"Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","N_Vogel_Surface","a",2021-11-10,2021-11-12,"deguelin_ppb",10.27,NA,"Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","N_Vogel_Surface","a",2021-11-10,2021-11-12,"tephrosin_ppb",NA,"Detected","Surface","N_Vogel_Lake"
"input/rotenone_data/rotenone_concentration_results/csv/20211112_Vogel_Sample 2 Results.csv","N_Vogel_Surface","a",2021-11-10,2021-11-12,"cft_5",NA,"Detected","Surface","N_Vogel_Lake"
