date,time,parameter2
29.06.2021,0:30,15.7
29.06.2021,0:45,15.7
29.06.2021,1:00,15.7
29.06.2021,1:15,15.6
29.06.2021,1:30,15.6
29.06.2021,1:45,15.5
29.06.2021,2:00,15.4
29.06.2021,2:15,15.4
29.06.2021,2:30,15.3
29.06.2021,2:45,15.3
29.06.2021,3:00,15.2
29.06.2021,3:15,15.2
29.06.2021,3:30,15.1
29.06.2021,3:45,15.1
29.06.2021,4:00,15.1
29.06.2021,4:15,15
29.06.2021,4:30,15
29.06.2021,4:45,14.9
29.06.2021,5:00,14.8
29.06.2021,5:15,14.8
29.06.2021,5:30,14.7
29.06.2021,5:45,14.7
29.06.2021,6:00,14.6
29.06.2021,6:15,14.5
29.06.2021,6:30,14.5
29.06.2021,6:45,14.4
29.06.2021,7:00,14.3
29.06.2021,7:15,14.3
29.06.2021,7:30,14.2
29.06.2021,7:45,14.2
29.06.2021,8:00,14.1
29.06.2021,8:15,14.1
29.06.2021,8:30,14.1
29.06.2021,8:45,14
29.06.2021,9:00,14
29.06.2021,9:15,14
29.06.2021,9:30,14
29.06.2021,9:45,14
29.06.2021,10:00,14.1
29.06.2021,10:15,14.1
29.06.2021,10:30,14.1
29.06.2021,10:45,14.2
29.06.2021,11:00,14.2
29.06.2021,11:15,14.3
29.06.2021,11:30,14.4
29.06.2021,11:45,14.4
29.06.2021,12:00,14.5
29.06.2021,12:15,14.6
29.06.2021,12:30,14.8
29.06.2021,12:45,14.9
29.06.2021,13:00,15
29.06.2021,13:15,15.1
29.06.2021,13:30,15.3
29.06.2021,13:45,15.4
29.06.2021,14:00,15.6
29.06.2021,14:15,15.7
29.06.2021,14:30,15.8
29.06.2021,14:45,16
29.06.2021,15:00,16.1
29.06.2021,15:15,16.3
29.06.2021,15:30,16.4
29.06.2021,15:45,16.6
29.06.2021,16:00,16.7
29.06.2021,16:15,16.8
29.06.2021,16:30,16.9
29.06.2021,16:45,17
29.06.2021,17:00,17.1
29.06.2021,17:15,17.2
29.06.2021,17:30,17.3
29.06.2021,17:45,17.3
29.06.2021,18:00,17.4
29.06.2021,18:15,17.4
29.06.2021,18:30,17.4
29.06.2021,18:45,17.5
29.06.2021,19:00,17.5
29.06.2021,19:15,17.5
29.06.2021,19:30,17.5
29.06.2021,19:45,17.5
29.06.2021,20:00,17.5
29.06.2021,20:15,17.6
29.06.2021,20:30,17.6
29.06.2021,20:45,17.6
29.06.2021,21:00,17.5
29.06.2021,21:15,17.5
29.06.2021,21:30,17.5
29.06.2021,21:45,17.5
29.06.2021,22:00,17.5
29.06.2021,22:15,17.5
29.06.2021,22:30,17.4
29.06.2021,22:45,17.4
29.06.2021,23:00,17.4
29.06.2021,23:15,17.3
29.06.2021,23:30,17.3
29.06.2021,23:45,17.3
30.06.2021,0:00,17.2
30.06.2021,0:15,17.2
30.06.2021,0:30,17.1
30.06.2021,0:45,17.1
30.06.2021,1:00,17
30.06.2021,1:15,16.9
30.06.2021,1:30,16.9
30.06.2021,1:45,16.8
30.06.2021,2:00,16.7
30.06.2021,2:15,16.7
30.06.2021,2:30,16.6
30.06.2021,2:45,16.5
30.06.2021,3:00,16.4
30.06.2021,3:15,16.4
30.06.2021,3:30,16.3
30.06.2021,3:45,16.2
30.06.2021,4:00,16.1
30.06.2021,4:15,16.1
30.06.2021,4:30,16
30.06.2021,4:45,15.9
30.06.2021,5:00,15.8
30.06.2021,5:15,15.8
30.06.2021,5:30,15.7
30.06.2021,5:45,15.6
30.06.2021,6:00,15.5
30.06.2021,6:15,15.5
30.06.2021,6:30,15.4
30.06.2021,6:45,15.3
30.06.2021,7:00,15.2
30.06.2021,7:15,15.2
30.06.2021,7:30,15.1
30.06.2021,7:45,15.1
30.06.2021,8:00,15.1
30.06.2021,8:15,15
30.06.2021,8:30,15
30.06.2021,8:45,15
30.06.2021,9:00,15
30.06.2021,9:15,15
30.06.2021,9:30,15
30.06.2021,9:45,15
30.06.2021,10:00,15
30.06.2021,10:15,15.1
30.06.2021,10:30,15.1
30.06.2021,10:45,15.1
30.06.2021,11:00,15.2
30.06.2021,11:15,15.2
30.06.2021,11:30,15.3
30.06.2021,11:45,15.3
30.06.2021,12:00,15.4
30.06.2021,12:15,15.5
30.06.2021,12:30,15.6
30.06.2021,12:45,15.7
30.06.2021,13:00,15.8
30.06.2021,13:15,15.9
30.06.2021,13:30,16
30.06.2021,13:45,16.1
30.06.2021,14:00,16.2
30.06.2021,14:15,16.4
30.06.2021,14:30,16.5
30.06.2021,14:45,16.7
30.06.2021,15:00,16.8
30.06.2021,15:15,17
30.06.2021,15:30,17.1
30.06.2021,15:45,17.2
30.06.2021,16:00,17.4
30.06.2021,16:15,17.5
30.06.2021,16:30,17.6
30.06.2021,16:45,17.7
30.06.2021,17:00,17.7
30.06.2021,17:15,17.8
30.06.2021,17:30,17.9
30.06.2021,17:45,17.9
30.06.2021,18:00,18
30.06.2021,18:15,18
30.06.2021,18:30,18.1
30.06.2021,18:45,18.1
30.06.2021,19:00,18.1
30.06.2021,19:15,18.1
30.06.2021,19:30,18.1
30.06.2021,19:45,18.1
30.06.2021,20:00,18.1
30.06.2021,20:15,18.1
30.06.2021,20:30,18.1
30.06.2021,20:45,18
30.06.2021,21:00,18
30.06.2021,21:15,18
30.06.2021,21:30,18
30.06.2021,21:45,17.9
30.06.2021,22:00,17.9
30.06.2021,22:15,17.8
30.06.2021,22:30,17.8
30.06.2021,22:45,17.8
30.06.2021,23:00,17.7
30.06.2021,23:15,17.7
30.06.2021,23:30,17.6
30.06.2021,23:45,17.6
1.07.2021,0:00,17.5
1.07.2021,0:15,17.5
1.07.2021,0:30,17.4
1.07.2021,0:45,17.3
1.07.2021,1:00,17.3
1.07.2021,1:15,17.2
1.07.2021,1:30,17.1
1.07.2021,1:45,17.1
1.07.2021,2:00,17
1.07.2021,2:15,16.9
1.07.2021,2:30,16.8
1.07.2021,2:45,16.7
1.07.2021,3:00,16.7
1.07.2021,3:15,16.6
1.07.2021,3:30,16.5
1.07.2021,3:45,16.4
1.07.2021,4:00,16.3
1.07.2021,4:15,16.2
1.07.2021,4:30,16.1
1.07.2021,4:45,16
1.07.2021,5:00,16
1.07.2021,5:15,15.9
1.07.2021,5:30,15.8
1.07.2021,5:45,15.7
1.07.2021,6:00,15.6
1.07.2021,6:15,15.6
1.07.2021,6:30,15.5
1.07.2021,6:45,15.4
1.07.2021,7:00,15.3
1.07.2021,7:15,15.3
1.07.2021,7:30,15.2
1.07.2021,7:45,15.2
1.07.2021,8:00,15.2
1.07.2021,8:15,15.2
1.07.2021,8:30,15.1
1.07.2021,8:45,15.2
1.07.2021,9:00,15.2
1.07.2021,9:15,15.2
1.07.2021,9:30,15.2
1.07.2021,9:45,15.2
1.07.2021,10:00,15.3
1.07.2021,10:15,15.3
1.07.2021,10:30,15.3
1.07.2021,10:45,15.4
1.07.2021,11:00,15.4
1.07.2021,11:15,15.5
1.07.2021,11:30,15.5
1.07.2021,11:45,15.6
1.07.2021,12:00,15.7
1.07.2021,12:15,15.7
1.07.2021,12:30,15.8
1.07.2021,12:45,15.9
1.07.2021,13:00,16
1.07.2021,13:15,16.1
1.07.2021,13:30,16.2
1.07.2021,13:45,16.2
1.07.2021,14:00,16.3
1.07.2021,14:15,16.4
1.07.2021,14:30,16.5
1.07.2021,14:45,16.6
1.07.2021,15:00,16.6
1.07.2021,15:15,16.7
1.07.2021,15:30,16.7
1.07.2021,15:45,16.8
1.07.2021,16:00,16.8
1.07.2021,16:15,16.8
1.07.2021,16:30,16.8
1.07.2021,16:45,16.8
1.07.2021,17:00,16.9
1.07.2021,17:15,16.9
1.07.2021,17:30,16.9
1.07.2021,17:45,16.9
1.07.2021,18:00,16.9
1.07.2021,18:15,16.9
1.07.2021,18:30,16.9
1.07.2021,18:45,16.9
1.07.2021,19:00,17
1.07.2021,19:15,17
1.07.2021,19:30,17
1.07.2021,19:45,17
1.07.2021,20:00,17
1.07.2021,20:15,17
1.07.2021,20:30,17
1.07.2021,20:45,17
1.07.2021,21:00,17
1.07.2021,21:15,17
1.07.2021,21:30,17
1.07.2021,21:45,17
1.07.2021,22:00,16.9
1.07.2021,22:15,16.9
1.07.2021,22:30,16.9
1.07.2021,22:45,16.9
1.07.2021,23:00,16.9
1.07.2021,23:15,16.8
1.07.2021,23:30,16.8
1.07.2021,23:45,16.8
2.07.2021,0:00,16.8
2.07.2021,0:15,16.7
2.07.2021,0:30,16.7
2.07.2021,0:45,16.7
2.07.2021,1:00,16.6
2.07.2021,1:15,16.6
2.07.2021,1:30,16.6
2.07.2021,1:45,16.5
2.07.2021,2:00,16.5
2.07.2021,2:15,16.4
2.07.2021,2:30,16.4
2.07.2021,2:45,16.4
2.07.2021,3:00,16.3
2.07.2021,3:15,16.3
2.07.2021,3:30,16.3
2.07.2021,3:45,16.2
2.07.2021,4:00,16.2
2.07.2021,4:15,16.2
2.07.2021,4:30,16.1
2.07.2021,4:45,16.1
2.07.2021,5:00,16.1
2.07.2021,5:15,16.1
2.07.2021,5:30,16
2.07.2021,5:45,16
2.07.2021,6:00,16
2.07.2021,6:15,16
2.07.2021,6:30,15.9
2.07.2021,6:45,15.9
2.07.2021,7:00,15.9
2.07.2021,7:15,15.9
2.07.2021,7:30,15.8
2.07.2021,7:45,15.8
2.07.2021,8:00,15.8
2.07.2021,8:15,15.8
2.07.2021,8:30,15.8
2.07.2021,8:45,15.8
2.07.2021,9:00,15.8
2.07.2021,9:15,15.8
2.07.2021,9:30,15.8
2.07.2021,9:45,15.8
2.07.2021,10:00,15.8
2.07.2021,10:15,15.9
2.07.2021,10:30,15.9
2.07.2021,10:45,15.9
2.07.2021,11:00,16
2.07.2021,11:15,16
2.07.2021,11:30,16
2.07.2021,11:45,16.1
2.07.2021,12:00,16.1
2.07.2021,12:15,16.2
2.07.2021,12:30,16.2
2.07.2021,12:45,16.3
2.07.2021,13:00,16.4
2.07.2021,13:15,16.4
2.07.2021,13:30,16.5
2.07.2021,13:45,16.6
2.07.2021,14:00,16.7
2.07.2021,14:15,16.8
2.07.2021,14:30,16.9
2.07.2021,14:45,17
2.07.2021,15:00,17
2.07.2021,15:15,17.1
2.07.2021,15:30,17.2
2.07.2021,15:45,17.2
2.07.2021,16:00,17.3
2.07.2021,16:15,17.4
2.07.2021,16:30,17.4
2.07.2021,16:45,17.4
2.07.2021,17:00,17.5
2.07.2021,17:15,17.5
2.07.2021,17:30,17.5
2.07.2021,17:45,17.5
2.07.2021,18:00,17.4
2.07.2021,18:15,17.4
2.07.2021,18:30,17.4
2.07.2021,18:45,17.3
2.07.2021,19:00,17.3
2.07.2021,19:15,17.2
2.07.2021,19:30,17.2
2.07.2021,19:45,17.1
2.07.2021,20:00,17.1
2.07.2021,20:15,17
2.07.2021,20:30,17
2.07.2021,20:45,16.9
2.07.2021,21:00,16.9
2.07.2021,21:15,16.8
2.07.2021,21:30,16.8
2.07.2021,21:45,16.8
2.07.2021,22:00,16.7
2.07.2021,22:15,16.7
2.07.2021,22:30,16.6
2.07.2021,22:45,16.6
2.07.2021,23:00,16.5
2.07.2021,23:15,16.5
2.07.2021,23:30,16.5
2.07.2021,23:45,16.4
3.07.2021,0:00,16.4
3.07.2021,0:15,16.3
3.07.2021,0:30,16.3
3.07.2021,0:45,16.3
3.07.2021,1:00,16.2
3.07.2021,1:15,16.2
3.07.2021,1:30,16.1
3.07.2021,1:45,16.1
3.07.2021,2:00,16
3.07.2021,2:15,16
3.07.2021,2:30,16
3.07.2021,2:45,15.9
3.07.2021,3:00,15.9
3.07.2021,3:15,15.8
