MiniSonde 46440,,,,,,,
Log File Name : Vogel_Lake_Outlet_2022_46440,,,,,,,
Setup Date (M/D/YYYY) : 6/17/2022,,,,,,,
Setup Time (HH:MM:SS) : 13:04:07,,,,,,,
Starting Date (M/D/YYYY) : 6/17/2022,,,,,,,
Starting Time (HH:MM:SS) : 15:00:00,,,,,,,
Stopping Date (M/D/YYYY) : 9/15/2022,,,,,,,
Stopping Time (HH:MM:SS) : 12:00:00,,,,,,,
Interval (HH:MM:SS) : 01:00:00,,,,,,,
Sensor warmup (HH:MM:SS) : 00:00:30,,,,,,,
Circltr warmup (HH:MM:SS) : 00:00:30,,,,,,,
,,,,,,,
Date,Time,Temp,SpCond,TurbSC,LDO,pH,
M/D/YYYY,HH:MM:SS,?C,?S/cm,NTU,mg/l,Units,LoggerID
,,,,,,,
7/2/2022,6:00:00,20.96,76,0,7.97,7.07,46440
7/2/2022,7:00:00,20.8,76,0,8.18,7.04,46440
7/2/2022,8:00:00,20.75,76,0,8.07,7.06,46440
7/2/2022,9:00:00,20.73,76,0,7.77,7,46440
7/2/2022,10:00:00,20.8,69,0,7.86,7.01,46440
7/2/2022,11:00:00,20.96,68,0,7.83,6.98,46440
7/2/2022,12:00:00,21.13,76,0,7.95,7,46440
7/2/2022,13:00:00,21.46,76,0,7.96,7,46440
7/2/2022,14:00:00,21.82,77,0,8.11,7.01,46440
7/2/2022,15:00:00,22.16,77,0,8.12,6.97,46440
7/2/2022,16:00:00,22.49,77,0,8.33,7.01,46440
7/2/2022,17:00:00,22.8,76,0,8.59,7.16,46440
7/2/2022,18:00:00,23.07,76,0,8.46,7.3,46440
7/2/2022,19:00:00,23.15,76,0,8.85,7.36,46440
7/2/2022,20:00:00,23.19,76,0,8.92,7.43,46440
7/2/2022,21:00:00,23.17,76,0,8.86,7.47,46440
7/2/2022,22:00:00,22.75,77,0,8.72,7.14,46440
7/2/2022,23:00:00,22.23,76,0,9.24,6.91,46440
7/3/2022,0:00:00,22.07,76,0,9.39,7.08,46440
7/3/2022,1:00:00,22.05,77,0,8.93,7.1,46440
7/3/2022,2:00:00,22.07,76,0,9.2,7.14,46440
7/3/2022,3:00:00,21.9,76,0,9.12,7.15,46440
7/3/2022,4:00:00,21.74,77,0,9.01,7.04,46440
7/3/2022,5:00:00,21.57,77,0,8.35,6.9,46440
7/3/2022,6:00:00,21.42,76,0,8.74,6.94,46440
7/3/2022,7:00:00,21.31,77,0,8.7,6.94,46440
7/3/2022,8:00:00,21.23,76,0,8.66,6.93,46440
7/3/2022,9:00:00,21.21,77,0,8.71,6.93,46440
7/3/2022,10:00:00,21.22,77,0,8.59,6.88,46440
7/3/2022,11:00:00,21.3,76,0,8.63,6.92,46440
7/3/2022,12:00:00,21.43,76,0,8.48,6.9,46440
7/3/2022,13:00:00,21.67,77,0,8.42,6.87,46440
7/3/2022,14:00:00,21.84,77,0,8.6,6.9,46440
7/3/2022,15:00:00,22.03,77,0,8.63,6.93,46440
7/3/2022,16:00:00,22.17,77,0,8.64,6.96,46440
