HYDROLAB MS5 65979,,,,,,,
Log File Name : Vodel_Lake_Outlet_2022_65979,,,,,,,
Setup Date (M/D/YYYY) : 6/17/2022,,,,,,,
Setup Time (HH:MM:SS) : 13:10:27,,,,,,,
Starting Date (M/D/YYYY) : 6/17/2022,,,,,,,
Starting Time (HH:MM:SS) : 15:00:00,,,,,,,
Stopping Date (M/D/YYYY) : 9/15/2022,,,,,,,
Stopping Time (HH:MM:SS) : 12:00:00,,,,,,,
Interval (HH:MM:SS) : 01:00:00,,,,,,,
Sensor warmup (HH:MM:SS) : 00:00:30,,,,,,,
Circltr warmup (HH:MM:SS) : 00:00:30,,,,,,,
,,,,,,,
Date,Time,Temp,pH,SpCond,TurbSC,LDO,
M/D/YYYY,HH:MM:SS,?C,Units,?S/cm,NTU,mg/l,LoggerID
,,,,,,,
7/2/2022,15:00:00,22.07,7.23,80,54.4,0,65979
7/2/2022,16:00:00,22.3,7.22,80,54.5,0,65979
7/2/2022,17:00:00,22.65,7.2,81,54.5,0,65979
7/2/2022,18:00:00,22.9,7.23,80,54.6,0,65979
7/2/2022,19:00:00,23.05,7.28,81,54.5,0,65979
7/2/2022,20:00:00,23.14,7.36,80,54.4,0,65979
7/2/2022,21:00:00,23.15,7.39,80,54.2,0,65979
7/2/2022,22:00:00,22.71,7.21,81,53.9,0,65979
7/2/2022,23:00:00,22.26,7.02,81,53.3,0,65979
7/3/2022,0:00:00,22.12,7.17,80,52.9,0,65979
7/3/2022,1:00:00,22.1,7.23,80,52.7,0,65979
7/3/2022,2:00:00,22.09,7.26,80,52.7,0,65979
7/3/2022,3:00:00,21.99,7.23,81,52.4,0,65979
7/3/2022,4:00:00,21.83,7.19,80,52.2,0,65979
7/3/2022,5:00:00,21.66,7.13,80,52,0,65979
7/3/2022,6:00:00,21.52,7.1,81,51.8,0,65979
7/3/2022,7:00:00,21.42,7.07,80,51.8,0,65979
7/3/2022,8:00:00,21.35,7.06,80,52,0,65979
7/3/2022,9:00:00,21.34,7.05,80,52.4,0,65979
7/3/2022,10:00:00,21.35,7.05,81,53.9,0,65979
7/3/2022,11:00:00,21.43,7.01,81,54.7,0,65979
7/3/2022,12:00:00,21.71,7.08,80,55.2,0,65979
7/3/2022,13:00:00,21.82,7.06,80,55.5,0,65979
7/3/2022,14:00:00,21.85,7.05,81,55.3,0,65979
