Hydrolab MS5 47418
"Log File Name : Miller_Creek_Buoy_47418_20210701"
"Setup Date (M/D/YYYY) : 7/1/2021"
"Setup Time (HH:MM:SS) : 11:01:45"
"Starting Date (M/D/YYYY) : 7/1/2021"
"Starting Time (HH:MM:SS) : 11:00:00"
"Stopping Date (M/D/YYYY) : 10/1/2021"
"Stopping Time (HH:MM:SS) : 11:00:00"
"Interval (HH:MM:SS) : 01:00:00"
"Sensor warmup (HH:MM:SS) : 00:00:45"
"Circltr warmup (HH:MM:SS) : 00:00:45"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","mg/l",""

7/10/2021,20:00:00,"","15.11","","8.15","","77","","0.0","","0.06",""
7/10/2021,21:00:00,"","15.05","","8.14","","77","","0.0","","0.06",""
7/10/2021,22:00:00,"","14.94","","8.13","","77","","0.0","","0.06",""
7/10/2021,23:00:00,"","14.81","","8.13","","77","","0.0","","0.06",""
7/11/2021,00:00:00,"","14.71","","8.13","","77","","0.0","","0.05",""
7/11/2021,01:00:00,"","14.57","","8.12","","77","","0.0","","0.05",""
7/11/2021,02:00:00,"","14.45","","8.11","","77","","0.0","","0.05",""
7/11/2021,03:00:00,"","14.35","","8.11","","77","","0.0","","0.05",""
7/11/2021,04:00:00,"","14.22","","8.10","","77","","0.0","","0.04",""
7/11/2021,05:00:00,"","14.16","","8.09","","77","","0.0","","0.04",""
7/11/2021,06:00:00,"","14.09","","8.09","","77","","0.0","","0.04",""
7/11/2021,07:00:00,"","14.05","","8.09","","77","","0.0","","0.04",""
7/11/2021,08:00:00,"","14.00","","8.11","","77","","0.0","","0.04",""
7/11/2021,09:00:00,"","14.03","","8.11","","77","","0.0","","0.04",""
7/11/2021,10:00:00,"","14.05","","8.12","","77","","0.0","","0.04",""
7/11/2021,11:00:00,"","14.12","","8.16","","77","","0.0","","0.04",""
7/11/2021,12:00:00,"","14.30","","8.20","","78","","0.0","","0.04",""
7/11/2021,13:00:00,"","14.52","","8.24","","77","","0.0","","0.05",""
7/11/2021,14:00:00,"","14.83","","8.29","","78","","0.0","","0.06",""
7/11/2021,15:00:00,"","15.20","","8.33","","77","","0.0","","0.06",""
7/11/2021,16:00:00,"","15.48","","8.37","","78","","0.0","","0.07",""
7/11/2021,17:00:00,"","15.67","","8.36","","77","","0.0","","0.07",""
7/11/2021,18:00:00,"","15.95","","8.37","","78","","0.0","","0.08",""
7/11/2021,19:00:00,"","15.92","","8.37","","78","","0.0","","0.08",""
7/11/2021,20:00:00,"","15.87","","8.37","","77","","0.0","","0.08",""
7/11/2021,21:00:00,"","15.79","","8.36","","77","","0.0","","0.08",""
7/11/2021,22:00:00,"","15.71","","8.34","","78","","0.0","","0.07",""
7/11/2021,23:00:00,"","15.63","","8.33","","78","","0.0","","0.07",""
7/12/2021,00:00:00,"","15.52","","8.31","","77","","0.0","","0.07",""
7/12/2021,01:00:00,"","15.41","","8.27","","77","","0.0","","0.07",""
7/12/2021,02:00:00,"","15.29","","8.24","","77","","0.0","","0.07",""
7/12/2021,03:00:00,"","15.21","","8.21","","78","","0.0","","0.06",""
7/12/2021,04:00:00,"","15.17","","8.19","","78","","0.0","","0.06",""
7/12/2021,05:00:00,"","15.07","","8.18","","78","","0.0","","0.06",""
7/12/2021,06:00:00,"","15.01","","8.16","","78","","0.0","","0.06",""
7/12/2021,07:00:00,"","14.95","","8.15","","78","","0.0","","0.06",""
7/12/2021,08:00:00,"","14.94","","8.15","","78","","0.0","","0.06",""
7/12/2021,09:00:00,"","14.98","","8.15","","78","","0.0","","0.06",""
7/12/2021,10:00:00,"","15.03","","8.15","","78","","0.0","","0.06",""
7/12/2021,11:00:00,"","15.11","","8.17","","78","","0.0","","0.06",""
7/12/2021,12:00:00,"","15.17","","8.19","","78","","0.0","","0.06",""
7/12/2021,13:00:00,"","15.21","","8.19","","78","","0.0","","0.06",""
7/12/2021,14:00:00,"","15.28","","8.20","","78","","0.0","","0.07",""
7/12/2021,15:00:00,"","15.33","","8.20","","78","","0.0","","0.07",""
7/12/2021,16:00:00,"","15.38","","8.19","","78","","0.0","","0.07",""
7/12/2021,17:00:00,"","15.44","","8.20","","78","","0.0","","0.07",""
7/12/2021,18:00:00,"","15.48","","8.20","","78","","0.0","","0.07",""
7/12/2021,19:00:00,"","15.51","","8.24","","78","","0.0","","0.07",""
7/12/2021,20:00:00,"","15.52","","8.25","","78","","0.0","","0.07",""
7/12/2021,21:00:00,"","15.53","","8.27","","78","","0.0","","0.07",""
7/12/2021,22:00:00,"","15.56","","8.27","","78","","0.0","","0.07",""
7/12/2021,23:00:00,"","15.49","","8.24","","78","","0.0","","0.07",""
7/13/2021,00:00:00,"","15.45","","8.23","","78","","0.0","","0.07",""
7/13/2021,01:00:00,"","15.39","","8.21","","78","","0.0","","0.07",""
7/13/2021,02:00:00,"","15.34","","8.20","","78","","0.0","","0.07",""
7/13/2021,03:00:00,"","15.29","","8.16","","78","","0.0","","0.07",""
7/13/2021,04:00:00,"","15.23","","8.16","","78","","0.0","","0.06",""
7/13/2021,05:00:00,"","15.16","","8.16","","78","","0.0","","0.06",""
7/13/2021,06:00:00,"","15.08","","8.15","","78","","0.0","","0.06",""
7/13/2021,07:00:00,"","15.02","","8.15","","78","","0.0","","0.06",""
7/13/2021,08:00:00,"","14.99","","8.13","","78","","0.0","","0.06",""
7/13/2021,09:00:00,"","14.99","","8.12","","78","","0.0","","0.06",""
7/13/2021,10:00:00,"","15.12","","8.12","","78","","0.0","","0.06",""
7/13/2021,11:00:00,"","15.23","","8.13","","78","","0.0","","0.06",""
7/13/2021,12:00:00,"","15.43","","8.14","","78","","0.0","","0.07",""
7/13/2021,13:00:00,"","15.66","","8.16","","78","","0.0","","0.07",""
7/13/2021,14:00:00,"","16.14","","8.21","","78","","0.0","","0.08",""
7/13/2021,15:00:00,"","16.54","","8.26","","78","","0.0","","0.09",""
7/13/2021,16:00:00,"","17.18","","8.32","","78","","0.0","","0.11",""
7/13/2021,17:00:00,"","17.53","","8.42","","78","","0.0","","0.11",""
7/13/2021,18:00:00,"","17.81","","8.49","","78","","0.0","","0.12",""
7/13/2021,19:00:00,"","17.85","","8.49","","78","","0.0","","0.12",""
7/13/2021,20:00:00,"","17.81","","8.62","","78","","0.0","","0.12",""
7/13/2021,21:00:00,"","17.67","","8.53","","78","","0.0","","0.12",""
7/13/2021,22:00:00,"","17.54","","8.48","","78","","0.0","","0.11",""
7/13/2021,23:00:00,"","17.41","","8.45","","78","","0.0","","0.11",""
7/14/2021,00:00:00,"","17.25","","8.43","","78","","0.0","","0.11",""
7/14/2021,01:00:00,"","17.04","","8.38","","78","","0.0","","0.10",""
7/14/2021,02:00:00,"","16.85","","8.35","","78","","0.0","","0.10",""
7/14/2021,03:00:00,"","16.66","","8.32","","78","","0.0","","0.10",""
7/14/2021,04:00:00,"","16.52","","8.29","","78","","0.0","","0.09",""
7/14/2021,05:00:00,"","16.40","","8.22","","78","","0.0","","0.09",""
7/14/2021,06:00:00,"","16.25","","8.19","","78","","0.0","","0.09",""
7/14/2021,07:00:00,"","16.15","","8.20","","78","","0.0","","0.08",""
7/14/2021,08:00:00,"","16.08","","8.21","","78","","0.0","","0.08",""
7/14/2021,09:00:00,"","16.08","","8.22","","78","","0.0","","0.08",""
7/14/2021,10:00:00,"","16.14","","8.22","","78","","0.0","","0.08",""
7/14/2021,11:00:00,"","16.16","","8.23","","78","","0.0","","0.08",""
7/14/2021,12:00:00,"","16.17","","8.24","","78","","0.0","","0.08",""
7/14/2021,13:00:00,"","16.22","","8.26","","78","","0.0","","0.09",""
7/14/2021,14:00:00,"","16.33","","8.29","","78","","0.0","","0.09",""
7/14/2021,15:00:00,"","16.48","","8.33","","78","","0.0","","0.09",""
7/14/2021,16:00:00,"","16.62","","8.37","","78","","0.0","","0.09",""
7/14/2021,17:00:00,"","16.73","","8.40","","78","","0.0","","0.10",""
7/14/2021,18:00:00,"","16.79","","8.43","","78","","0.0","","0.10",""
7/14/2021,19:00:00,"","16.81","","8.44","","78","","0.0","","0.10",""
7/14/2021,20:00:00,"","16.78","","8.45","","78","","0.0","","0.10",""
