Mini Sonde 5 64819
"Log File Name : Vogel_Lake_64819"
"Setup Date (M/D/YYYY) : 5/27/2021"
"Setup Time (HH:MM:SS) : 10:24:42"
"Starting Date (M/D/YYYY) : 5/27/2021"
"Starting Time (HH:MM:SS) : 12:00:00"
"Stopping Date (M/D/YYYY) : 9/27/2021"
"Stopping Time (HH:MM:SS) : 12:00:00"
"Interval (HH:MM:SS) : 00:15:00"
"Sensor warmup (HH:MM:SS) : 00:02:00"
"Circltr warmup (HH:MM:SS) : 00:02:00"

"Date","Time","","Temp","","pH","","SpCond","","TurbSC","","LDO","","IBatt",""
"M/D/YYYY","HH:MM:SS","","°C","","Units","","µS/cm","","NTU","","mg/l","","%Left",""

5/29/2021,12:30:00,"","13.45","","7.26","","74","","0.0","","9.46","","0",""
5/29/2021,12:45:00,"","13.43","","7.24","","74","","0.0","","9.43","","0",""
5/29/2021,13:00:00,"","13.43","","7.27","","74","","0.0","","9.48","","0",""
5/29/2021,13:15:00,"","13.43","","7.32","","74","","0.0","","9.53","","0",""
5/29/2021,13:30:00,"","13.42","","7.25","","74","","0.0","","9.54","","0",""
5/29/2021,13:45:00,"","13.42","","7.28","","74","","0.0","","9.58","","0",""
5/29/2021,14:00:00,"","13.38","","7.26","","74","","0.0","","9.52","","0",""
5/29/2021,14:15:00,"","13.38","","7.26","","74","","0.0","","9.58","","0",""
5/29/2021,14:30:00,"","13.38","","7.31","","74","","0.0","","9.59","","0",""
5/29/2021,14:45:00,"","13.34","","7.31","","74","","0.0","","9.59","","0",""
5/29/2021,15:00:00,"","13.30","","7.27","","74","","0.0","","9.61","","0",""
5/29/2021,15:15:00,"","13.31","","7.31","","74","","0.0","","9.62","","0",""
5/29/2021,15:30:00,"","13.26","","7.29","","74","","0.0","","9.58","","0",""
5/29/2021,15:45:00,"","13.24","","7.30","","74","","0.0","","9.66","","0",""
5/29/2021,16:00:00,"","13.22","","7.32","","74","","0.0","","9.61","","0",""
5/29/2021,16:15:00,"","13.17","","7.28","","74","","0.0","","9.65","","0",""
5/29/2021,16:30:00,"","13.11","","7.28","","74","","0.0","","9.56","","0",""
5/29/2021,16:45:00,"","13.13","","7.28","","74","","0.0","","9.59","","0",""
5/29/2021,17:00:00,"","13.11","","7.30","","74","","0.0","","9.56","","0",""
5/29/2021,17:15:00,"","13.08","","7.29","","74","","0.0","","9.58","","0",""
5/29/2021,17:30:00,"","13.08","","7.30","","74","","0.0","","9.57","","0",""
5/29/2021,17:45:00,"","13.06","","7.30","","74","","0.0","","9.56","","0",""
5/29/2021,18:00:00,"","13.04","","7.31","","74","","0.0","","9.55","","0",""
5/29/2021,18:15:00,"","13.03","","7.31","","74","","0.0","","9.63","","0",""
5/29/2021,18:30:00,"","13.01","","7.31","","74","","0.0","","9.62","","0",""
5/29/2021,18:45:00,"","13.00","","7.32","","74","","0.0","","9.59","","0",""
5/29/2021,19:00:00,"","12.97","","7.31","","74","","0.0","","9.57","","0",""
5/29/2021,19:15:00,"","12.95","","7.32","","74","","0.0","","9.59","","0",""
5/29/2021,19:30:00,"","12.93","","7.32","","74","","0.0","","9.57","","0",""
5/29/2021,19:45:00,"","12.90","","7.31","","74","","0.0","","9.62","","0",""
